cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
7,False,settled,11711,247.2,645808.125583,647903.415333,1788912074620,252,active,(tabs)/home,18,63,200,0,0,0,0,8,8,8,0,13,19,0,13,19
7,False,browsed,11711,247.2,668196.752875,670273.9684580001,1788912097019,256,active,(tabs)/home,18,63,200,0,0,0,0,8,8,8,0,13,19,0,13,19
7,False,background,11711,243.9,670394.113041,672948.3533330001,1788912099692,264,background,(tabs)/home,0,0,200,0,0,0,0,9,9,9,0,13,19,0,13,19
7,False,home,11711,249.6,690307.1928750002,692277.1754160002,1788912119035,268,active,(tabs)/home,18,63,200,0,0,0,0,9,9,9,0,13,19,0,13,19
8,False,settled,11711,249.6,727185.66075,729392.4436250001,1788912156102,276,active,(tabs)/home,18,63,200,0,0,0,0,9,9,9,0,13,19,0,13,19
8,False,browsed,11711,249.5,749623.673708,751824.6562080001,1788912178504,280,active,(tabs)/home,18,63,200,0,0,0,0,9,9,9,0,13,19,0,13,19
8,False,background,11711,246.3,751824.9835000001,754114.788708,1788912180872,287,background,(tabs)/home,0,0,200,0,0,0,0,10,10,10,0,13,19,0,13,19
8,False,home,11711,249.6,770563.3675830001,772677.0655830002,1788912199335,291,active,(tabs)/home,18,63,200,0,0,0,0,10,10,10,0,13,19,0,13,19
9,False,settled,11711,249.5,803772.473708,806002.1777910001,1788912232668,299,active,(tabs)/home,18,63,200,0,0,0,0,10,10,10,0,13,19,0,13,19
9,False,browsed,11711,249.5,826160.3934580002,828344.899583,1788912255069,303,active,(tabs)/home,18,63,200,0,0,0,0,10,10,10,0,13,19,0,13,19
9,False,background,11711,246.3,828345.373958,830709.1447080001,1788912257438,310,background,(tabs)/home,0,0,200,0,0,0,0,11,11,11,0,13,19,0,13,19
9,False,home,11711,250,846594.365833,848697.7832500001,1788912275417,314,active,(tabs)/home,18,63,200,0,0,0,0,11,11,11,0,13,19,0,13,19
10,False,settled,11711,249.9,880672.948666,882879.8615410002,1788912309551,322,active,(tabs)/home,18,63,200,0,0,0,0,11,11,11,0,13,19,0,13,19
10,False,browsed,11711,249.9,903089.8316250001,905269.9795830001,1788912331950,326,active,(tabs)/home,18,63,200,0,0,0,0,11,11,11,0,13,19,0,13,19
10,False,background,11711,246.6,905295.422708,907623.67775,1788912334372,333,background,(tabs)/home,0,0,200,0,0,0,0,12,12,12,0,13,19,0,13,19
10,False,home,11711,251,923696.2776660002,925908.998875,1788912352581,337,active,(tabs)/home,18,63,200,0,0,0,0,12,12,12,0,13,19,0,13,19
11,False,settled,11711,250.6,956875.7192500001,958891.1140000001,1788912385650,345,active,(tabs)/home,18,63,200,0,0,0,0,12,12,12,0,13,19,0,13,19
11,False,browsed,11711,250.4,979253.6140000001,981354.619,1788912408048,349,active,(tabs)/home,18,63,200,0,0,0,0,12,12,12,0,13,19,0,13,19
11,False,background,11711,247.1,982550.8666659999,985143.9436250003,1788912411895,357,background,(tabs)/home,0,0,200,0,0,0,0,13,13,13,0,13,19,0,13,19
11,False,home,11711,250.4,1002889.2365000001,1005004.1589580001,1788912431733,361,active,(tabs)/home,18,63,200,0,0,0,0,13,13,13,0,13,19,0,13,19
12,False,settled,11711,250.4,1036061.3680830002,1038071.0794160003,1788912464801,369,active,(tabs)/home,18,63,200,0,0,0,0,13,13,13,0,13,19,0,13,19
12,False,browsed,11711,250.4,1058501.3568330002,1060484.520083,1788912487200,373,active,(tabs)/home,18,63,200,0,0,0,0,13,13,13,0,13,19,0,13,19
12,False,background,11711,247.2,1060656.727583,1063026.265958,1788912489752,381,background,(tabs)/home,0,0,200,0,0,0,0,14,14,14,0,13,19,0,13,19
12,False,home,11711,250.6,1079033.5906250002,1081002.2563749999,1788912507715,385,active,(tabs)/home,18,63,200,0,0,0,0,14,14,14,0,13,19,0,13,19
13,False,settled,11711,250.5,1112766.9593330002,1114873.8716660002,1788912541566,393,active,(tabs)/home,18,63,200,0,0,0,0,14,14,14,0,13,19,0,13,19
13,False,browsed,11711,250.5,1135172.6662909999,1137261.0246660002,1788912563965,397,active,(tabs)/home,18,63,200,0,0,0,0,14,14,14,0,13,19,0,13,19
13,False,background,11711,247.2,1137314.5265000002,1139619.604041,1788912566370,404,background,(tabs)/home,0,0,200,0,0,0,0,15,15,15,0,13,19,0,13,19
13,False,home,11711,250.6,1155541.167291,1157595.494666,1788912584315,408,active,(tabs)/home,18,63,200,0,0,0,0,15,15,15,0,13,19,0,13,19
14,False,settled,11711,250.5,1188609.5355410003,1190682.9546659999,1788912617381,416,active,(tabs)/home,18,63,200,0,0,0,0,15,15,15,0,13,19,0,13,19
14,False,browsed,11711,250.5,1210943.952,1213065.0593329999,1788912639782,420,active,(tabs)/home,18,63,200,0,0,0,0,15,15,15,0,13,19,0,13,19
14,False,background,11711,247.3,1213087.575375,1215412.4193330002,1788912642145,427,background,(tabs)/home,0,0,200,0,0,0,0,16,16,16,0,13,19,0,13,19
14,False,home,11711,257.5,1231364.644541,1233315.357541,1788912660097,431,active,(tabs)/home,18,63,200,0,0,0,0,16,16,16,0,13,19,0,13,19
15,False,settled,11711,258.8,1264705.5219160002,1266696.1016660002,1788912693428,439,active,(tabs)/home,18,63,200,0,0,0,0,16,16,16,0,13,19,0,13,19
15,False,browsed,11711,258.8,1287036.7835830003,1289136.7542500002,1788912715830,443,active,(tabs)/home,18,63,200,0,0,0,0,16,16,16,0,13,19,0,13,19
15,False,background,11711,255.5,1289214.2817080002,1291812.2128329999,1788912718514,451,background,(tabs)/home,0,0,200,0,0,0,0,17,17,17,0,13,19,0,13,19
15,False,home,11711,258.9,1308228.459208,1310316.7592080003,1788912737047,455,active,(tabs)/home,18,63,200,0,0,0,0,17,17,17,0,13,19,0,13,19
16,False,settled,11711,258.8,1341103.6051250002,1343194.21625,1788912769847,463,active,(tabs)/home,18,63,200,0,0,0,0,17,17,17,0,13,19,0,13,19
16,False,browsed,11711,258.8,1363444.141541,1365551.529666,1788912792247,467,active,(tabs)/home,18,63,200,0,0,0,0,17,17,17,0,13,19,0,13,19
16,False,background,11711,255.5,1365713.419791,1368080.790583,1788912794819,474,background,(tabs)/home,0,0,200,0,0,0,0,18,18,18,0,13,19,0,13,19
16,False,home,11711,258.9,1383964.234625,1386166.295583,1788912812797,478,active,(tabs)/home,18,63,200,0,0,0,0,18,18,18,0,13,19,0,13,19
17,False,settled,11711,258.8,1417829.2967910003,1419931.926041,1788912846663,486,active,(tabs)/home,18,63,200,0,0,0,0,18,18,18,0,13,19,0,13,19
17,False,browsed,11711,259,1440217.1029580003,1442304.505833,1788912869063,490,active,(tabs)/home,18,63,200,0,0,0,0,18,18,18,0,13,19,0,13,19
17,False,background,11711,255.6,1442366.0473330002,1444708.984208,1788912871433,497,background,(tabs)/home,0,0,200,0,0,0,0,19,19,19,0,13,19,0,13,19
17,False,home,11711,256.2,1460714.746291,1462690.980916,1788912889380,501,active,(tabs)/home,18,63,200,0,0,0,0,19,19,19,0,13,19,0,13,19
18,False,settled,11711,256,1494165.8227500003,1496251.232041,1788912922979,509,active,(tabs)/home,18,63,200,0,0,0,0,19,19,19,0,13,19,0,13,19
18,False,browsed,11711,256,1516564.7902080002,1518661.8502500001,1788912945377,513,active,(tabs)/home,18,63,200,0,0,0,0,19,19,19,0,13,19,0,13,19
18,False,background,11711,252.7,1518813.4390409999,1521161.4941250002,1788912947901,521,background,(tabs)/home,0,0,200,0,0,0,0,20,20,20,0,13,19,0,13,19
18,False,home,11711,256.1,1536934.867375,1539133.942041,1788912965826,525,active,(tabs)/home,18,63,200,0,0,0,0,20,20,20,0,13,19,0,13,19
19,False,settled,11711,256,1570056.735458,1572172.3217910002,1788912998896,533,active,(tabs)/home,18,63,200,0,0,0,0,20,20,20,0,13,19,0,13,19
19,False,browsed,11711,256,1592520.482291,1594625.304041,1788913021296,537,active,(tabs)/home,18,63,200,0,0,0,0,20,20,20,0,13,19,0,13,19
19,False,background,11711,252.7,1594663.499208,1597198.254708,1788913023955,545,background,(tabs)/home,0,0,200,0,0,0,0,21,21,21,0,13,19,0,13,19
19,False,home,11711,256.1,1613287.1253750003,1615499.541125,1788913042162,549,active,(tabs)/home,18,63,200,0,0,0,0,21,21,21,0,13,19,0,13,19
20,False,settled,11711,256,1646465.1101250001,1648569.9943750002,1788913075229,557,active,(tabs)/home,18,63,200,0,0,0,0,21,21,21,0,13,19,0,13,19
20,False,browsed,11711,256,1668811.347416,1670921.1057910002,1788913097628,561,active,(tabs)/home,18,63,200,0,0,0,0,21,21,21,0,13,19,0,13,19
20,False,background,11711,252.7,1670968.728916,1673289.0207080003,1788913100031,568,background,(tabs)/home,0,0,200,0,0,0,0,22,22,22,0,13,19,0,13,19
20,False,home,11711,256.2,1689271.447083,1691245.3407080001,1788913117995,572,active,(tabs)/home,18,63,200,0,0,0,0,22,22,22,0,13,19,0,13,19
