cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
7,False,home,84435,315.1,892027.5425,893993.264583,1788914201959,357,active,(tabs)/home,19,66,200,0,0,0,0,9,9,9,20,23,48,20,23,48
8,False,settled,84435,315.1,926521.6195,928734.792708,1788914236608,375,active,play,3,9,200,0,0,0,0,9,9,9,1,14,25,20,23,48
8,False,browsed,84435,320.8,971048.606708,973232.911625,1788914281143,379,active,play,3,9,200,0,0,0,0,9,9,9,20,23,48,20,23,48
8,False,background,84435,316.7,973233.3333749999,975579.4628330001,1788914283508,386,background,play,0,0,200,0,0,0,0,10,10,10,20,23,48,20,23,48
8,False,home,84435,320.4,992295.896708,994383.909125,1788914302292,390,active,(tabs)/home,19,66,200,0,0,0,0,10,10,10,20,23,48,20,23,48
9,False,settled,84435,320.3,1026880.3355410001,1028978.919666,1788914336944,408,active,play,3,9,200,0,0,0,0,10,10,10,1,14,25,20,23,48
9,False,browsed,84435,322,1070984.810208,1072982.768625,1788914380910,412,active,play,3,9,200,0,0,0,0,10,10,10,20,23,48,20,23,48
9,False,background,84435,317.8,1072983.220958,1075320.781208,1788914383276,419,background,play,0,0,200,0,0,0,0,11,11,11,20,23,48,20,23,48
9,False,home,84435,320.5,1091634.3675,1093612.873708,1788914401525,423,active,(tabs)/home,19,66,200,0,0,0,0,11,11,11,20,23,48,20,23,48
10,False,settled,84435,320.7,1126947.973708,1129032.837291,1788914436994,441,active,play,3,9,200,0,0,0,0,11,11,11,1,14,25,20,23,48
10,False,browsed,84435,322,1169754.235083,1171738.97125,1788914479661,445,active,play,3,9,200,0,0,0,0,11,11,11,20,23,48,20,23,48
10,False,background,84435,317.9,1171739.470166,1174052.372416,1788914482027,452,background,play,0,0,200,0,0,0,0,12,12,12,20,23,48,20,23,48
10,False,home,84435,321.6,1190057.544541,1192032.048416,1788914499961,456,active,(tabs)/home,19,66,200,0,0,0,0,12,12,12,20,23,48,20,23,48
11,False,settled,84435,321.8,1225091.867666,1227153.481708,1788914535126,474,active,play,3,9,200,0,0,0,0,12,12,12,1,14,25,20,23,48
11,False,browsed,84435,323.2,1268384.355833,1270441.301166,1788914578325,478,active,play,3,9,200,0,0,0,0,12,12,12,20,23,48,20,23,48
11,False,background,84435,319.1,1270441.784958,1272998.779041,1788914580974,485,background,play,0,0,200,0,0,0,0,13,13,13,20,23,48,20,23,48
11,False,home,84435,322.9,1289584.489458,1291800.4307910001,1788914599708,489,active,(tabs)/home,19,66,200,0,0,0,0,13,13,13,20,23,48,20,23,48
12,False,settled,84435,322.9,1324790.732875,1327007.9375,1788914634910,507,active,play,3,9,200,0,0,0,0,13,13,13,1,14,25,20,23,48
12,False,browsed,84435,324.5,1368726.99325,1370921.8865,1788914678861,511,active,play,3,9,200,0,0,0,0,13,13,13,20,23,48,20,23,48
12,False,background,84435,320.4,1370922.433958,1373251.40975,1788914681209,518,background,play,0,0,200,0,0,0,0,14,14,14,20,23,48,20,23,48
12,False,home,84435,324.3,1389430.941666,1391530.062708,1788914699426,522,active,(tabs)/home,19,66,200,0,0,0,0,14,14,14,20,23,48,20,23,48
13,False,settled,84435,324.2,1424524.6105830001,1426742.462875,1788914734627,540,active,play,3,9,200,0,0,0,0,14,14,14,1,14,25,20,23,48
13,False,browsed,84435,325.7,1467811.543541,1469903.926041,1788914777826,544,active,play,3,9,200,0,0,0,0,14,14,14,20,23,48,20,23,48
13,False,background,84435,321.5,1469904.46075,1472224.878208,1788914780190,551,background,play,0,0,200,0,0,0,0,15,15,15,20,23,48,20,23,48
13,False,home,84435,326.7,1488373.9098750001,1490595.84575,1788914798443,555,active,(tabs)/home,19,66,200,0,0,0,0,15,15,15,20,23,48,20,23,48
14,False,settled,84435,326.6,1523573.791833,1525791.269083,1788914833651,573,active,play,3,9,200,0,0,0,0,15,15,15,1,14,25,20,23,48
14,False,browsed,84435,328.3,1566893.899208,1568891.669041,1788914876843,577,active,play,3,9,200,0,0,0,0,15,15,15,20,23,48,20,23,48
14,False,background,84435,324.2,1568892.234958,1571236.7877500001,1788914879168,584,background,play,0,0,200,0,0,0,0,16,16,16,20,23,48,20,23,48
14,False,home,84435,327.8,1587207.316,1589143.8375000001,1788914897128,588,active,(tabs)/home,19,66,200,0,0,0,0,16,16,16,20,23,48,20,23,48
15,False,settled,84435,327.6,1622213.793541,1624443.5368330001,1788914932310,606,active,play,3,9,200,0,0,0,0,16,16,16,1,14,25,20,23,48
15,False,browsed,84435,329.3,1665813.692625,1667818.044916,1788914975760,610,active,play,3,9,200,0,0,0,0,16,16,16,20,23,48,20,23,48
15,False,background,84435,325.2,1667818.630791,1670378.551083,1788914978330,617,background,play,0,0,200,0,0,0,0,17,17,17,20,23,48,20,23,48
15,False,home,84435,328.9,1686421.5699160001,1688643.378666,1788914996543,621,active,(tabs)/home,19,66,200,0,0,0,0,17,17,17,20,23,48,20,23,48
16,False,settled,84435,329.1,1721609.82725,1723818.2705,1788915031745,639,active,play,3,9,200,0,0,0,0,17,17,17,1,14,25,20,23,48
16,False,browsed,84435,332.4,1764516.542541,1766502.128291,1788915074412,643,active,play,3,9,200,0,0,0,0,17,17,17,20,23,48,20,23,48
16,False,background,84435,328.3,1766502.8018750001,1768817.911333,1788915076776,650,background,play,0,0,200,0,0,0,0,18,18,18,20,23,48,20,23,48
16,False,home,84435,331.9,1785356.3284160001,1787319.930125,1788915095277,654,active,(tabs)/home,19,66,200,0,0,0,0,18,18,18,20,23,48,20,23,48
17,False,settled,84435,332.1,1819553.831416,1821777.779,1788915129683,672,active,play,3,9,200,0,0,0,0,18,18,18,1,14,25,20,23,48
17,False,browsed,84435,332.6,1862555.386125,1864653.018666,1788915172576,676,active,play,3,9,200,0,0,0,0,18,18,18,20,23,48,20,23,48
17,False,background,84435,328.5,1864653.674,1866969.229125,1788915174927,683,background,play,0,0,200,0,0,0,0,19,19,19,20,23,48,20,23,48
