cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
7,False,browsed,89583,245.9,672539.961916,674686.2021250001,1788904637023,259,active,(tabs)/home,18,63,200,0,0,0,0,8,8,8,0,13,19,0,13,19
7,False,background,89583,242.6,674686.491208,677311.057791,1788904639601,266,background,(tabs)/home,0,0,200,0,0,0,0,9,9,9,0,13,19,0,13,19
7,False,home,89583,246.1,693220.5517910001,695274.495875,1788904657589,270,active,(tabs)/home,18,63,200,0,0,0,0,9,9,9,0,13,19,0,13,19
8,False,settled,89583,245.9,726563.996208,728620.949583,1788904690906,278,active,(tabs)/home,18,63,200,0,0,0,0,9,9,9,0,13,19,0,13,19
8,False,browsed,89583,245.9,748976.702833,751021.498166,1788904713307,282,active,(tabs)/home,18,63,200,0,0,0,0,9,9,9,0,13,19,0,13,19
8,False,background,89583,242.6,751133.001916,753529.300375,1788904715826,290,background,(tabs)/home,0,0,200,0,0,0,0,10,10,10,0,13,19,0,13,19
8,False,home,89583,248,769623.5205,771664.769875,1788904734057,294,active,(tabs)/home,18,63,200,0,0,0,0,10,10,10,0,13,19,0,13,19
9,False,settled,89583,248,803318.477583,805482.4108750001,1788904767839,302,active,(tabs)/home,18,63,200,0,0,0,0,10,10,10,0,13,19,0,13,19
9,False,browsed,89583,248,825708.497833,827851.33975,1788904790241,306,active,(tabs)/home,18,63,200,0,0,0,0,10,10,10,0,13,19,0,13,19
9,False,background,89583,244.7,827851.697958,830235.138541,1788904792528,313,background,(tabs)/home,0,0,200,0,0,0,0,11,11,11,0,13,19,0,13,19
9,False,home,89583,249,846077.372708,848136.626166,1788904810473,317,active,(tabs)/home,18,63,200,0,0,0,0,11,11,11,0,13,19,0,13,19
10,False,settled,89583,248.8,880277.253916,882459.453833,1788904844808,325,active,(tabs)/home,18,63,200,0,0,0,0,11,11,11,0,13,19,0,13,19
10,False,browsed,89583,248.9,902620.183125,904561.502916,1788904866942,329,active,(tabs)/home,18,63,200,0,0,0,0,11,11,11,0,13,19,0,13,19
10,False,background,89583,245.5,904773.037208,907167.220958,1788904869466,337,background,(tabs)/home,0,0,200,0,0,0,0,12,12,12,0,13,19,0,13,19
10,False,home,89583,248.9,923169.502375,925339.4064580001,1788904887641,341,active,(tabs)/home,18,63,200,0,0,0,0,12,12,12,0,13,19,0,13,19
11,False,settled,89583,249,957502.4034160001,959664.328541,1788904921991,349,active,(tabs)/home,18,63,200,0,0,0,0,12,12,12,0,13,19,0,13,19
11,False,browsed,89583,248.8,979844.1387080001,981786.102416,1788904944142,353,active,(tabs)/home,18,63,200,0,0,0,0,12,12,12,0,13,19,0,13,19
11,False,background,89583,245.6,982008.556375,984510.7426250001,1788904946923,360,background,(tabs)/home,0,0,200,0,0,0,0,13,13,13,0,13,19,0,13,19
11,False,home,89583,249.4,1000757.6197909999,1002770.3594579999,1788904965104,364,active,(tabs)/home,18,63,200,0,0,0,0,13,13,13,0,13,19,0,13,19
12,False,settled,89583,249.3,1035710.733583,1037874.891791,1788905000241,372,active,(tabs)/home,18,63,200,0,0,0,0,13,13,13,0,13,19,0,13,19
12,False,browsed,89583,249.3,1058105.580541,1060239.526916,1788905022626,376,active,(tabs)/home,18,63,200,0,0,0,0,13,13,13,0,13,19,0,13,19
12,False,background,89583,245.9,1060239.920833,1062626.397208,1788905024925,383,background,(tabs)/home,0,0,200,0,0,0,0,14,14,14,0,13,19,0,13,19
12,False,home,89583,249.4,1078767.807958,1080787.67375,1788905043140,387,active,(tabs)/home,18,63,200,0,0,0,0,14,14,14,0,13,19,0,13,19
13,False,settled,89583,249.2,1112756.655083,1114776.853083,1788905077160,395,active,(tabs)/home,18,63,200,0,0,0,0,14,14,14,0,13,19,0,13,19
13,False,browsed,89583,249.2,1135160.079416,1137184.0595,1788905099558,399,active,(tabs)/home,18,63,200,0,0,0,0,14,14,14,0,13,19,0,13,19
13,False,background,89583,245.9,1137314.743458,1139696.610666,1788905101991,407,background,(tabs)/home,0,0,200,0,0,0,0,15,15,15,0,13,19,0,13,19
13,False,home,89583,249.4,1155790.661666,1157922.709333,1788905120225,411,active,(tabs)/home,18,63,200,0,0,0,0,15,15,15,0,13,19,0,13,19
14,False,settled,89583,249.3,1190255.6955,1192414.4288330001,1788905154791,419,active,(tabs)/home,18,63,200,0,0,0,0,15,15,15,0,13,19,0,13,19
14,False,browsed,89583,249.2,1212603.749458,1214618.868916,1788905176923,423,active,(tabs)/home,18,63,200,0,0,0,0,15,15,15,0,13,19,0,13,19
14,False,background,89583,246,1214745.409333,1217126.571333,1788905179425,431,background,(tabs)/home,0,0,200,0,0,0,0,16,16,16,0,13,19,0,13,19
14,False,home,89583,249.5,1233037.081416,1235071.6069160001,1788905197391,435,active,(tabs)/home,18,63,200,0,0,0,0,16,16,16,0,13,19,0,13,19
15,False,settled,89583,250.2,1267093.282166,1269128.057583,1788905231475,443,active,(tabs)/home,18,63,200,0,0,0,0,16,16,16,0,13,19,0,13,19
15,False,browsed,89583,250.2,1289466.398875,1291497.432458,1788905253875,447,active,(tabs)/home,18,63,200,0,0,0,0,16,16,16,0,13,19,0,13,19
15,False,background,89583,248,1291626.065291,1294207.4392910001,1788905256550,455,background,(tabs)/home,0,0,200,0,0,0,0,17,17,17,0,13,19,0,13,19
15,False,home,89583,254.1,1310300.4405,1312440.178458,1788905274793,459,active,(tabs)/home,18,63,200,0,0,0,0,17,17,17,0,13,19,0,13,19
16,False,settled,89583,254,1344360.505458,1346496.397833,1788905308809,467,active,(tabs)/home,18,63,200,0,0,0,0,17,17,17,0,13,19,0,13,19
16,False,browsed,89583,254,1366781.744125,1368800.960916,1788905331206,471,active,(tabs)/home,18,63,200,0,0,0,0,17,17,17,0,13,19,0,13,19
16,False,background,89583,250.8,1368894.5185,1371291.39875,1788905333594,478,background,(tabs)/home,0,0,200,0,0,0,0,18,18,18,0,13,19,0,13,19
16,False,home,89583,254.2,1387300.769166,1389558.573458,1788905351844,482,active,(tabs)/home,18,63,200,0,0,0,0,18,18,18,0,13,19,0,13,19
17,False,settled,89583,254,1421526.794333,1423612.714458,1788905385877,490,active,(tabs)/home,18,63,200,0,0,0,0,18,18,18,0,13,19,0,13,19
17,False,browsed,89583,254.1,1443941.7965,1445911.448,1788905408274,494,active,(tabs)/home,18,63,200,0,0,0,0,18,18,18,0,13,19,0,13,19
17,False,background,89583,250.8,1446098.105083,1448462.8256660001,1788905410814,502,background,(tabs)/home,0,0,200,0,0,0,0,19,19,19,0,13,19,0,13,19
17,False,home,89583,254.3,1464385.725666,1466470.588083,1788905428760,506,active,(tabs)/home,18,63,200,0,0,0,0,19,19,19,0,13,19,0,13,19
18,False,settled,89583,254.3,1498571.1945,1500533.466916,1788905462893,514,active,(tabs)/home,18,63,200,0,0,0,0,19,19,19,0,13,19,0,13,19
18,False,browsed,89583,254.2,1520922.771333,1523014.677166,1788905485293,518,active,(tabs)/home,18,63,200,0,0,0,0,19,19,19,0,13,19,0,13,19
18,False,background,89583,250.8,1523178.284083,1525545.137333,1788905487881,525,background,(tabs)/home,0,0,200,0,0,0,0,20,20,20,0,13,19,0,13,19
18,False,home,89583,254.4,1541371.194958,1543589.68625,1788905505877,529,active,(tabs)/home,18,63,200,0,0,0,0,20,20,20,0,13,19,0,13,19
19,False,settled,89583,254.3,1575273.769333,1577478.9275,1788905539744,537,active,(tabs)/home,18,63,200,0,0,0,0,20,20,20,0,13,19,0,13,19
19,False,browsed,89583,254.2,1597728.807583,1599804.527375,1788905562144,541,active,(tabs)/home,18,63,200,0,0,0,0,20,20,20,0,13,19,0,13,19
19,False,background,89583,250.9,1599862.161708,1602429.442291,1788905564760,548,background,(tabs)/home,0,0,200,0,0,0,0,21,21,21,0,13,19,0,13,19
19,False,home,89583,254.3,1618346.070875,1620460.880708,1788905582761,552,active,(tabs)/home,18,63,200,0,0,0,0,21,21,21,0,13,19,0,13,19
20,False,settled,89583,254.2,1652412.460666,1654593.122958,1788905616893,560,active,(tabs)/home,18,63,200,0,0,0,0,21,21,21,0,13,19,0,13,19
20,False,browsed,89583,254.2,1674736.6125410001,1676962.452791,1788905639294,564,active,(tabs)/home,18,63,200,0,0,0,0,21,21,21,0,13,19,0,13,19
20,False,background,89583,251,1676962.996375,1679388.107708,1788905641643,571,background,(tabs)/home,0,0,200,0,0,0,0,22,22,22,0,13,19,0,13,19
20,False,home,89583,254.3,1695314.291208,1697408.1547080001,1788905659695,575,active,(tabs)/home,18,63,200,0,0,0,0,22,22,22,0,13,19,0,13,19
